English name,species_code
Visayan Cuckooshrike,babcuc5
Mindanao Cuckooshrike,mincuc1
Sulu Cuckooshrike,babcuc24
Andaman Cuckooshrike,andcus1
Sunda Cuckooshrike,suncus1
Wallacean Cuckooshrike,walcus1
Halmahera Cuckooshrike,halcus1
Buru Cuckooshrike,burcus1
White-rumped Cuckooshrike,whrcus1
Slaty Cuckooshrike,slacus1
Ghana Cuckooshrike,ghacus1
Oriole Cuckooshrike,oricus1
Black Cuckooshrike,blkcus1
Petit's Cuckooshrike,petcus1
Red-shouldered Cuckooshrike,rescus1
Purple-throated Cuckooshrike,putcus1
Golden Cuckooshrike,golcus1
McGregor's Cuckooshrike,mcgcus1
Polynesian Triller,poltri1
Samoan Triller,samtri1
Long-tailed Triller,lottri1
White-shouldered Triller,whwtri2
White-winged Triller,whwtri1
Black-browed Triller,blbtri1
Biak Triller,bkbtri2
White-browed Triller,whbtri1
Varied Triller,vartri1
Mussau Triller,vartri3
Black-and-white Triller,bawtri1
White-rumped Triller,whrtri1
Pied Triller,pietri1
Rufous-bellied Triller,rubtri1
Reunion Cuckooshrike,reucus1
Mauritius Cuckooshrike,maucus1
Black-winged Cuckooshrike,bkwcus1
Black-headed Cuckooshrike,bkhcus1
Lesser Cuckooshrike,lescus1
Indochinese Cuckooshrike,indcus1
Pygmy Cuckooshrike,pygcus1
Blue Cuckooshrike,blucus1
New Caledonian Cuckooshrike,neccus1
Blackish Cuckooshrike,blacus1
White-winged Cuckooshrike,whwcus1
Black-bellied Cicadabird,bkbcus2
Pale-shouldered Cicadabird,sumcus1
Kai Cicadabird,kaicus1
Timor Cicadabird,timcic1
Pale Cicadabird,pagcus1
Pohnpei Cicadabird,cicada3
Black-bibbed Cicadabird,bkbcus1
Gray-headed Cicadabird,gyhcus1
Black Cicadabird,negcus1
Solomons Cicadabird,soicus1
Malaita Cicadabird,solcuc4
Makira Cicadabird,cicada7
Manus Cicadabird,mancic1
Sangihe Cicadabird,sancic1
Palau Cicadabird,cicada4
Yap Cicadabird,cicada5
Central Melanesian Cicadabird,cemcic1
Sulawesi Cicadabird,sulcus2
Geelvink Cicadabird,comcic4
Banggai Cicadabird,comcic19
Obi Cicadabird,comcic20
Sula Cicadabird,sulcus1
North Moluccan Cicadabird,nomcic1
Papuan Cicadabird,papcus1
Bismarck Cicadabird,comcic6
Rossel Cicadabird,comcic5
South Moluccan Cicadabird,comcic11
Sahul Cicadabird,cicada1
Whitehead,whiteh1
Yellowhead,yellow3
Pipipi,pipipi1
Black Sittella,blksit1
Papuan Sittella,varsit1
Varied Sittella,varsit8
Papuan Whipbird,papwhi1
Eastern Whipbird,easwhi1
Western Whipbird,weswhi1
Chiming Wedgebill,chiwed1
Chirruping Wedgebill,chiwed2
Wattled Ploughbill,watplo1
Crested Bellbird,crebel1
Rufous-naped Bellbird,runwhi1
Piping Bellbird,crepit1
Eastern Shrike-tit,cresht1
Western Shrike-tit,cresht2
Northern Shrike-tit,cresht3
Tit Berrypecker,titber1
Western Crested Berrypecker,creber3
Eastern Crested Berrypecker,creber2
Black-headed Shrike-Babbler,bhsbab1
Pied Shrike-Babbler,wbsbab2
White-browed Shrike-Babbler,whbshb1
Green Shrike-Babbler,grsbab1
Black-eared Shrike-Babbler,besbab1
Trilling Shrike-Babbler,cfsbab1
Clicking Shrike-Babbler,clishb1
White-bellied Erpornis,whbyuh1
Rufous-browed Peppershrike,rubpep1
Black-billed Peppershrike,blbpep1
Gray-eyed Greenlet,gyegre1
Rufous-crowned Greenlet,rucgre1
Olivaceous Greenlet,oligre1
Ashy-headed Greenlet,ashgre1
Scrub Greenlet,scrgre1
Gray-chested Greenlet,gycgre1
Brown-headed Greenlet,brhgre1
Lemon-chested Greenlet,lecgre2
Chestnut-sided Shrike-Vireo,cssvir1
Green Shrike-Vireo,grsvir1
Yellow-browed Shrike-Vireo,ybsvir1
Slaty-capped Shrike-Vireo,scsvir1
Tawny-crowned Greenlet,tacgre1
Lesser Greenlet,lesgre1
Dusky-capped Greenlet,ducgre1
Buff-cheeked Greenlet,bucgre1
Golden-fronted Greenlet,gofgre1
Rufous-naped Greenlet,rungre1
Golden Vireo,golvir1
Blue Mountain Vireo,blmvir1
Slaty Vireo,slavir1
Black-capped Vireo,bkcvir1
Dwarf Vireo,dwavir1
White-eyed Vireo,whevir
Thick-billed Vireo,thbvir
Mangrove Vireo,manvir1
Cozumel Vireo,cozvir1
San Andres Vireo,stavir1
Jamaican Vireo,jamvir1
Cuban Vireo,cubvir1
Puerto Rican Vireo,purvir1
Flat-billed Vireo,flbvir1
Bell's Vireo,belvir
Gray Vireo,gryvir
Hutton's Vireo,hutvir
Yellow-throated Vireo,yetvir
Yellow-winged Vireo,yewvir1
Choco Vireo,chovir1
Cassin's Vireo,casvir
Blue-headed Vireo,buhvir
Plumbeous Vireo,plsvir
Tepui Vireo,tepgre1
Philadelphia Vireo,phivir
Warbling Vireo,warvir
Brown-capped Vireo,brcvir1
Red-eyed Vireo,reevir1
Chivi Vireo,chivir1
Noronha Vireo,norvir1
Yellow-green Vireo,yegvir
Black-whiskered Vireo,bkwvir
Yucatan Vireo,yucvir
Rusty Pitohui,ruspit1
White-bellied Pitohui,whbpit1
Sandstone Shrikethrush,sansht2
Bower's Shrikethrush,bowsht1
Gray Shrikethrush,grysht1
Sooty Shrikethrush,soosht1
Variable Shrikethrush,litshr5
Waigeo Shrikethrush,litshr6
Mamberamo Shrikethrush,litshr1
Sepik-Ramu Shrikethrush,litshr3
Arafura Shrikethrush,rufsht2
Tagula Shrikethrush,litshr4
Rufous Shrikethrush,litshr2
Black Pitohui,blapit1
Sangihe Whistler,sansht1
Maroon-backed Whistler,mabwhi1
Olive Whistler,oliwhi1
Red-lored Whistler,relwhi1
Gilbert's Whistler,gilwhi1
Bare-throated Whistler,batwhi1
Fawn-breasted Whistler,fabwhi1
Regent Whistler,regwhi1
Vanuatu Whistler,necwhi2
Vogelkop Whistler,vogwhi1
Sclater's Whistler,sclwhi1
White-throated Fiji Whistler,whtwhi1
Yellow-throated Fiji Whistler,fijwhi1
Samoan Whistler,samwhi1
Tongan Whistler,tonwhi1
New Caledonian Whistler,necwhi3
Guadalcanal Hooded Whistler,guhwhi1
Bougainville Hooded Whistler,bohwhi1
Bismarck Whistler,biswhi1
Louisiade Whistler,louwhi1
Nendo Whistler,temwhi2
Utupua Whistler,temwhi3
Vanikoro Whistler,temwhi4
Oriole Whistler,oriwhi1
Rennell Whistler,renwhi1
Tenggara Whistler,rubwhi1
Selayar Whistler,rubwhi2
Moluccan Whistler,yetwhi1
Babar Whistler,yetwhi6
Black-chinned Whistler,bkcwhi1
Baliem Whistler,golwhi2
Golden Whistler,y01193
Black-tailed Whistler,bltwhi1
Morningbird,mornin1
Brown-backed Whistler,brbwhi1
Lorentz's Whistler,lorwhi1
Golden-backed Whistler,gobwhi1
Yellow-bellied Whistler,yebwhi1
Bornean Whistler,borwhi1
Sulphur-bellied Whistler,subwhi1
Mangrove Whistler,manwhi1
Green-backed Whistler,grbwhi1
White-vented Whistler,whvwhi1
Island Whistler,islwhi2
Biak Whistler,biawhi1
Rusty Whistler,ruswhi1
Gray Whistler,grywhi2
Wallacean Whistler,walwhi1
Drab Whistler,drawhi1
White-bellied Whistler,whbwhi1
Black-headed Whistler,blhwhi1
Rufous Whistler,rufwhi1
White-breasted Whistler,whbwhi2
Hooded Pitohui,hoopit1
Raja Ampat Pitohui,varpit4
Northern Variable Pitohui,varpit2
Southern Variable Pitohui,varpit3
Timor Oriole,timori1
Wetar Oriole,timori3
Buru Oriole,burori2
Tanimbar Oriole,burori3
Seram Oriole,serori1
Halmahera Oriole,halori1
Brown Oriole,broori1
Olive-backed Oriole,olbori1
Green Oriole,greori1
Dark-throated Oriole,datori1
Ventriloquial Oriole,datori7
White-lored Oriole,whlori1
Philippine Oriole,phiori1
Isabela Oriole,isaori1
Eurasian Golden Oriole,eugori2
Indian Golden Oriole,ingori1
African Golden Oriole,afgori2
Black-naped Oriole,blnori1
Slender-billed Oriole,slbori1
Green-headed Oriole,grhori1
Sao Tome Oriole,satori1
Western Black-headed Oriole,wbhori1
Ethiopian Black-headed Oriole,dahori1
African Black-headed Oriole,abhori1
Black-tailed Oriole,bltori1
Black-winged Oriole,blwori1
Black-hooded Oriole,blhori1
Black Oriole,blaori1
Black-and-crimson Oriole,bacori1
Javan Oriole,bacori3
Maroon Oriole,marori2
Silver Oriole,silori1
Wetar Figbird,wetfig1
Green Figbird,grnfig1
Australasian Figbird,ausfig1
North Island Piopio,noipio1
South Island Piopio,soipio1
Black-breasted Boatbill,blbboa1
Yellow-breasted Boatbill,yebboa1
Ashy Woodswallow,ashwoo2
Fiji Woodswallow,fijwoo1
Ivory-backed Woodswallow,whbwoo8
Great Woodswallow,grewoo1
White-breasted Woodswallow,whbwoo4
Bismarck Woodswallow,biswoo1
Masked Woodswallow,maswoo1
White-browed Woodswallow,whbwoo5
Black-faced Woodswallow,blfwoo1
Dusky Woodswallow,duswoo1
Little Woodswallow,litwoo4
Mountain Peltops,moupel1
Lowland Peltops,lowpel1
Black-backed Butcherbird,blbbut1
Gray Butcherbird,grybut1
Silver-backed Butcherbird,sibbut1
Hooded Butcherbird,hoobut1
Tagula Butcherbird,tagbut1
Pied Butcherbird,piebut1
Black Butcherbird,blabut1
Australian Magpie,ausmag2
Pied Currawong,piecur1
Black Currawong,blacur2
Gray Currawong,grycur1
Mottled Berryhunter,motwhi1
White-tailed Shrike,whtshr1
Chestnut Wattle-eye,chweye1
West African Wattle-eye,weawae1
White-spotted Wattle-eye,wsweye1
Brown-throated Wattle-eye,btweye2
White-fronted Wattle-eye,wfweye1
Black-throated Wattle-eye,btweye1
Banded Wattle-eye,baweye1
Red-cheeked Wattle-eye,rcweye1
Black-necked Wattle-eye,bnweye1
Jameson's Wattle-eye,jaweye1
Yellow-bellied Wattle-eye,ybweye1
Boulton's Batis,boubat1
Short-tailed Batis,shtbat1
Dark Batis,darbat1
Rwenzori Batis,ruwbat1
Cape Batis,capbat10
Malawi Batis,capbat2
Woodwards' Batis,woobat1
Chinspot Batis,chibat1
Pale Batis,palbat1
Pririt Batis,pribat1
Senegal Batis,senbat1
Gray-headed Batis,gyhbat1
Western Black-headed Batis,bkhbat1
Eastern Black-headed Batis,bkhbat2
Pygmy Batis,pygbat1
Verreaux's Batis,verbat1
Ituri Batis,itubat1
Bioko Batis,fepbat1
West African Batis,weabat1
Angola Batis,angbat1
White-crested Helmetshrike,whihel1
Gray-crested Helmetshrike,gychel1
Yellow-crested Helmetshrike,yechel1
Red-billed Helmetshrike,chbhel1
Rufous-bellied Helmetshrike,rubhel1
Retz's Helmetshrike,rethel1
Angola Helmetshrike,anghel1
Chestnut-fronted Helmetshrike,chfhel1
African Shrike-flycatcher,afrshf1
Black-and-white Shrike-flycatcher,bawfly1
Malabar Woodshrike,malwoo1
Large Woodshrike,larwoo1
Common Woodshrike,comwoo1
Sri Lanka Woodshrike,srlwoo1
Bar-winged Flycatcher-shrike,bwfshr1
Black-winged Flycatcher-shrike,bwfshr2
Rufous-winged Philentoma,ruwphi2
Maroon-breasted Philentoma,mabphi2
Archbold's Newtonia,arcnew1
Common Newtonia,comnew1
Dark Newtonia,darnew1
Red-tailed Newtonia,retnew1
Tylas Vanga,tylvan1
Red-tailed Vanga,retvan1
Red-shouldered Vanga,resvan1
Nuthatch-Vanga,nuthat2
Chabert Vanga,chavan2
Crossley's Vanga,crobab1
Comoro Blue Vanga,bluvan2
Madagascar Blue Vanga,bluvan3
Hook-billed Vanga,hobvan1
Ward's Flycatcher,warfly1
Rufous Vanga,rufvan1
Helmet Vanga,helvan1
Bernier's Vanga,bervan1
Sickle-billed Vanga,sibvan1
White-headed Vanga,whhvan1
Pollen's Vanga,polvan1
Lafresnaye's Vanga,lafvan1
Van Dam's Vanga,vadvan1
Bornean Bristlehead,borbri1
Common Iora,comior1
White-tailed Iora,whtior1
Green Iora,greior2
Great Iora,greior1
Brubru,brubru1
Northern Puffback,norpuf1
Pringle's Puffback,pripuf1
Black-backed Puffback,blbpuf2
Red-eyed Puffback,reepuf1
Pink-footed Puffback,pifpuf1
Sabine's Puffback,labpuf1
Marsh Tchagra,martch2
Black-crowned Tchagra,bkctch1
Brown-crowned Tchagra,brctch1
Three-streaked Tchagra,thstch1
Southern Tchagra,soutch1
Red-naped Bushshrike,renbus1
Coastal Boubou,sombou1
Lühder's Bushshrike,luebus1
Braun's Bushshrike,brabus1
Gabela Bushshrike,gabbus1
Turati's Boubou,turbou1
Ethiopian Boubou,trobou2
Tropical Boubou,trobou1
Zanzibar Boubou,zanbou1
Gabon Boubou,gabbou1
Southern Boubou,soubou1
Yellow-crowned Gonolek,comgon1
Black-headed Gonolek,blhgon1
Crimson-breasted Gonolek,crbgon1
Papyrus Gonolek,papgon1
Yellow-breasted Boubou,yebbou1
Slate-colored Boubou,slcbou1
Lowland Sooty Boubou,soobou1
Willard's Sooty Boubou,wisbou1
Western Boubou,mosbou1
Albertine Boubou,mosbou4
Fülleborn's Boubou,fuebou1
Rosy-patched Bushshrike,ropbus1
Bokmakierie,bokmak1
Four-colored Bushshrike,focbus2
Doherty's Bushshrike,dohbus1
Gray-green Bushshrike,gygbus1
Sulphur-breasted Bushshrike,subbus1
Olive Bushshrike,olibus1
Many-colored Bushshrike,macbus2
Black-fronted Bushshrike,blfbus1
Mount Kupe Bushshrike,mtkbus1
Fiery-breasted Bushshrike,fibbus1
Lagden's Bushshrike,lagbus1
Green-breasted Bushshrike,grbbus1
Gray-headed Bushshrike,gyhbus1
Monteiro's Bushshrike,monbus1
Uluguru Bushshrike,ulubus1
Drongo Fantail,papdro1
Cerulean Flycatcher,cepfly1
Taveuni Silktail,silkta2
Natewa Silktail,silkta3
Black Fantail,blafan1
Black-and-cinnamon Fantail,bacfan1
Mindanao Blue-Fantail,blufan1
Visayan Blue-Fantail,visblf1
Tablas Fantail,tabfan1
Visayan Fantail,visfan1
Blue-headed Fantail,blhfan1
Spotted Fantail,spofan1
Cinnamon-tailed Fantail,citfan1
White-winged Fantail,whwfan1
White-gorgeted Fantail,cocfan4
Northern Fantail,norfan1
Brown-capped Fantail,brcfan1
Sooty Thicket-Fantail,sotfan1
Black Thicket-Fantail,bltfan1
White-bellied Thicket-Fantail,wbtfan1
Willie-wagtail,wilwag1
Malaysian Pied-Fantail,piefan1
Philippine Pied-Fantail,phipif1
White-throated Fantail,whtfan1
Spot-breasted Fantail,spbfan1
Rufous-tailed Fantail,rutfan1
White-bellied Fantail,whbfan1
White-browed Fantail,whbfan2
Rufous-backed Fantail,rubfan1
Dimorphic Fantail,dimfan1
Bismarck Fantail,bisfan1
Mussau Fantail,matfan1
Malaita Fantail,malfan1
Sulawesi Fantail,rubfan2
Peleng Fantail,pelfan1
Taliabu Fantail,rubfan3
Tawny-backed Fantail,cibfan1
Streak-breasted Fantail,stbfan1
Long-tailed Fantail,lotfan1
Palau Fantail,palfan1
Manus Fantail,manfan2
Supertramp Fantail,arafan2
Arafura Fantail,arafan1
Gilolo Fantail,ruffan3
Australian Rufous Fantail,ruffan13
Louisiade Fantail,ruffan4
Santa Cruz Fantail,sacfan1
Micronesian Rufous Fantail,mirfan1
Solomons Rufous Fantail,sorfan1
Pohnpei Fantail,pohfan1
Friendly Fantail,frifan1
Chestnut-bellied Fantail,chbfan1
Bougainville Fantail,brnfan1
Guadalcanal Fantail,brnfan2
Vanuatu Streaked Fantail,strfan2
Fiji Streaked Fantail,fisfan1
New Caledonian Streaked Fantail,strfan5
Dusky Fantail,dusfan1
Rennell Fantail,renfan1
Kadavu Fantail,kanfan1
Samoan Fantail,samfan1
Gray Fantail,gryfan1
Mangrove Fantail,manfan1
New Zealand Fantail,nezfan1
Sharpe's Drongo,shadro2
Square-tailed Drongo,cstdro1
Shining Drongo,shidro1
Fork-tailed Drongo,fotdro5
Velvet-mantled Drongo,vemdro6
Aldabra Drongo,alddro1
Grande Comore Drongo,comdro1
Crested Drongo,credro1
Mayotte Drongo,maydro1
Black Drongo,bladro1
Ashy Drongo,ashdro1
White-bellied Drongo,whbdro1
Crow-billed Drongo,crbdro1
Bronzed Drongo,brodro1
Lesser Racket-tailed Drongo,lrtdro1
Hair-crested Drongo,hacdro1
Short-tailed Drongo,hacdro3
Palawan Drongo,paldro1
Balicassiao,balica1
Sulawesi Drongo,suldro1
Sumatran Drongo,sumdro1
Wallacean Drongo,waldro1
Ribbon-tailed Drongo,ritdro1
Spangled Drongo,spadro1
Tablas Drongo,tabdro1
Andaman Drongo,anddro1
Greater Racket-tailed Drongo,grtdro1
Sri Lanka Drongo,srldro1
Halmahera Paradise-crow,paradi2
Obi Paradise-crow,paradi3
Trumpet Manucode,truman1
Curl-crested Manucode,cucman1
Crinkle-collared Manucode,crcman2
Jobi Manucode,jobman1
Glossy-mantled Manucode,glmman2
King-of-Saxony Bird-of-Paradise,kospar1
Carola's Parotia,carpar1
Bronze Parotia,carpar3
Western Parotia,wespar1
Wahnes's Parotia,wahpar1
Lawes's Parotia,lawpar3
Eastern Parotia,lawpar2
Twelve-wired Bird-of-Paradise,twwbop1
Black-billed Sicklebill,blbsic1
Pale-billed Sicklebill,pabsic1
Standardwing Bird-of-Paradise,walsta2
Vogelkop Lophorina,vosbop1
Greater Lophorina,grsbop1
Lesser Lophorina,lesbop1
Paradise Riflebird,parrif1
Victoria's Riflebird,vicrif1
Magnificent Riflebird,magrif3
Growling Riflebird,magrif2
Black Sicklebill,blasic1
Brown Sicklebill,brosic1
Long-tailed Paradigalla,lotpar1
Short-tailed Paradigalla,shtpar1
Splendid Astrapia,splast1
Arfak Astrapia,arfast1
Huon Astrapia,huoast1
Stephanie's Astrapia,prsast1
Ribbon-tailed Astrapia,ritast1
King Bird-of-Paradise,kbopar1
Wilson's Bird-of-Paradise,wbopar1
Magnificent Bird-of-Paradise,mbopar2
Blue Bird-of-Paradise,bbopar1
Emperor Bird-of-Paradise,ebopar1
Red Bird-of-Paradise,rbopar2
Goldie's Bird-of-Paradise,gbopar1
Lesser Bird-of-Paradise,lbopar1
Raggiana Bird-of-Paradise,rbopar1
Greater Bird-of-Paradise,gbopar2
Blue-capped Ifrita,bucifr1
Blue-headed Crested Flycatcher,bhcfly1
African Crested Flycatcher,afcfly1
Short-crested Monarch,shcmon1
Black-naped Monarch,blnmon1
Pale-blue Monarch,pabmon1
Celestial Monarch,celmon1
Blue Paradise-Flycatcher,blpfly1
Rufous Paradise-Flycatcher,rupfly1
Black Paradise-Flycatcher,japfly1
Amur Paradise-Flycatcher,amupaf1
Blyth's Paradise-Flycatcher,blypaf1
Tenggara Paradise-Flycatcher,blypaf3
Mascarene Paradise-Flycatcher,mapfly2
Indian Paradise-Flycatcher,aspfly1
Sao Tome Paradise-Flycatcher,stpfly1
Seychelles Paradise-Flycatcher,sepfly1
Malagasy Paradise-Flycatcher,mapfly1
Black-headed Paradise-Flycatcher,bhpfly1
Bedford's Paradise-Flycatcher,bepfly1
Rufous-vented Paradise-Flycatcher,rvpfly1
Bates's Paradise-Flycatcher,batpaf1
African Paradise-Flycatcher,afpfly1
Hawaii Elepaio,elepai
Kauai Elepaio,elepai5
Oahu Elepaio,elepai4
Tahiti Monarch,tahmon2
Maupiti Monarch,maumon1
Rarotonga Monarch,rarmon1
Eiao Monarch,eiamon1
Nuku Hiva Monarch,nuhmon1
Iphis Monarch,iphmon2
Ua Pou Monarch,uapmon1
Marquesan Monarch,marmon2
Fatu Hiva Monarch,fatmon1
Ogea Monarch,ogemon1
Slaty Monarch,slamon1
Vanikoro Monarch,vanmon1
Buff-bellied Monarch,bubmon1
Southern Shrikebill,soushr2
Rennell Shrikebill,renshr1
Fiji Shrikebill,fijshr1
Black-throated Shrikebill,bktshr1
Santa Cruz Shrikebill,bktshr2
White-naped Monarch,whnmon1
Tanimbar Monarch,loemon1
White-eared Monarch,whemon1
Golden Monarch,golmon1
Chuuk Monarch,trumon1
Yap Monarch,yapmon1
Tinian Monarch,tinmon1
Island Monarch,islmon1
White-capped Monarch,whcmon1
Chestnut-bellied Monarch,chbmon1
Black-faced Monarch,blfmon1
Black-winged Monarch,blwmon1
Fan-tailed Monarch,blamon1
Rufous Monarch,rufmon1
Flores Monarch,flomon1
Boano Monarch,blcmon1
Moluccan Spectacled Monarch,molmon1
Australian Spectacled Monarch,spemon1
Louisiade Spectacled Monarch,spemon10
Kai Monarch,whtmon1
Tanahjampea Monarch,whtmon2
Buru Monarch,bltmon2
Kofiau Monarch,blbmon1
Biak Monarch,biamon1
Hooded Monarch,hoomon1
Manus Monarch,manmon1
Mussau Monarch,whbmon1
Bismarck Monarch,bltmon1
Solomons Monarch,bawmon2
Malaita Monarch,bawmon4
Kolombangara Monarch,kolmon5
Vella Lavella Monarch,velmon1
Banda Sea Monarch,blbmon2
White-collared Monarch,whcmon2
Spot-winged Monarch,spwmon1
Frilled Monarch,frimon1
Frill-necked Monarch,frnmon1
Ochre-collared Monarch,rucmon1
Pied Monarch,piemon1
Magpie-lark,maglar1
Torrent-lark,torlar1
Palau Flycatcher,palfly3
Guam Flycatcher,guafly1
Pohnpei Flycatcher,pohfly1
Chuuk Flycatcher,ocefly1
Biak Flycatcher,biafly1
Moluccan Flycatcher,molfly1
Leaden Flycatcher,leafly2
Steel-blue Flycatcher,stbfly1
Ochre-headed Flycatcher,ochfly1
Melanesian Flycatcher,melfly1
Vanikoro Flycatcher,vanfly1
Samoan Flycatcher,samfly1
Azure-crested Flycatcher,blcfly2
Chestnut-throated Flycatcher,chtfly1
Broad-billed Flycatcher,brbfly1
Satin Flycatcher,satfly1
Restless Flycatcher,resfly1
Paperbark Flycatcher,papfly1
Shining Flycatcher,shifly1
Mussau Flycatcher,dulfly2
Velvet Flycatcher,velfly1
White-winged Chough,whwcho1
Apostlebird,apostl1
Lesser Melampitta,lesmel1
Greater Melampitta,gremel1
Crested Jayshrike,crejay1
Yellow-billed Shrike,yebshr1
Magpie Shrike,magshr1
Tiger Shrike,tigshr1
Bull-headed Shrike,buhshr1
Red-backed Shrike,rebshr1
Red-tailed Shrike,rutshr2
Isabelline Shrike,isashr1
Brown Shrike,brnshr
Burmese Shrike,burshr1
Emin's Shrike,emishr1
Bay-backed Shrike,babshr1
Long-tailed Shrike,lotshr1
Gray-backed Shrike,gybshr1
Mountain Shrike,gycshr1
Loggerhead Shrike,logshr
Northern Shrike,norshr4
Iberian Gray Shrike,ibgshr1
Great Gray Shrike,norshr1
Lesser Gray Shrike,legshr2
Chinese Gray Shrike,chgshr1
Giant Shrike,chgshr3
Gray-backed Fiscal,gybfis1
Long-tailed Fiscal,lotfis1
Taita Fiscal,taifis1
Somali Fiscal,somfis1
Mackinnon's Shrike,macshr1
Northern Fiscal,norfis1
Southern Fiscal,soufis1
Souza's Shrike,soushr3
Newton's Fiscal,newfis1
Masked Shrike,masshr1
Woodchat Shrike,wooshr1
White-rumped Shrike,whrshr1
White-crowned Shrike,whcshr1
Malayan Black Magpie,blkmag1
Bornean Black Magpie,blkmag2
Siberian Jay,sibjay1
Sichuan Jay,sicjay1
Canada Jay,gryjay
White-throated Jay,whtjay1
Dwarf Jay,dwajay1
Black-throated Jay,bltjay1
Silvery-throated Jay,sitjay1
Azure-hooded Jay,azhjay1
Beautiful Jay,beajay1
Black-collared Jay,blcjay2
Turquoise Jay,turjay1
White-collared Jay,whcjay2
Black-throated Magpie-Jay,btmjay
White-throated Magpie-Jay,wtmjay1
Brown Jay,brnjay
Azure Jay,azujay1
Violaceous Jay,viojay1
Purplish Jay,purjay1
Curl-crested Jay,cucjay1
Green Jay,grnjay
White-tailed Jay,whtjay2
Bushy-crested Jay,bucjay1
Yucatan Jay,yucjay1
Purplish-backed Jay,pubjay1
San Blas Jay,sabjay
Tufted Jay,tufjay1
Black-chested Jay,blcjay1
Azure-naped Jay,aznjay1
Cayenne Jay,cayjay1
Plush-crested Jay,plcjay1
White-naped Jay,whnjay1
Pinyon Jay,pinjay
Steller's Jay,stejay
Blue Jay,blujay
Florida Scrub-Jay,flsjay
Island Scrub-Jay,issjay
California Scrub-Jay,cowscj1
Woodhouse's Scrub-Jay,wooscj2
Mexican Jay,mexjay4
Transvolcanic Jay,mexjay3
Unicolored Jay,unijay1
Eurasian Jay,eurjay1
Black-headed Jay,blhjay1
Lidth's Jay,lidjay1
Iberian Magpie,azwmag3
Azure-winged Magpie,azwmag2
Sri Lanka Blue-Magpie,ceymag1
Taiwan Blue-Magpie,formag1
Yellow-billed Blue-Magpie,gobmag1
Red-billed Blue-Magpie,rbbmag
White-winged Magpie,whwmag1
Common Green-Magpie,gremag1
Indochinese Green-Magpie,yebmag1
Javan Green-Magpie,shtmag1
Bornean Green-Magpie,borgrm1
Rufous Treepie,ruftre2
Gray Treepie,grytre1
Sumatran Treepie,sumtre1
Bornean Treepie,bortre1
White-bellied Treepie,whbtre1
Collared Treepie,coltre1
Andaman Treepie,andtre1
Racket-tailed Treepie,rattre1
Hooded Treepie,hootre1
Ratchet-tailed Treepie,rattre2
Maghreb Magpie,eurmag3
Asir Magpie,eurmag5
Black-rumped Magpie,eurmag6
Oriental Magpie,orimag1
Eurasian Magpie,eurmag1
Black-billed Magpie,bkbmag1
Yellow-billed Magpie,yebmag
Stresemann's Bush-Crow,stbcro1
Mongolian Ground-Jay,mogjay1
Xinjiang Ground-Jay,xigjay1
Turkestan Ground-Jay,tugjay1
Iranian Ground-Jay,irgjay1
Clark's Nutcracker,clanut
Northern Nutcracker,eurnut3
Southern Nutcracker,eurnut4
Kashmir Nutcracker,sponut1
Red-billed Chough,rebcho1
Yellow-billed Chough,yebcho1
Piapiac,piapia1
Eurasian Jackdaw,eurjac
Daurian Jackdaw,daujac1
House Crow,houcro1
New Caledonian Crow,neccro1
Banggai Crow,bancro1
Sunda Crow,slbcro2
Sierra Madre Crow,slbcro5
Samar Crow,slbcro6
Sulawesi Crow,slbcro12
Palawan Crow,slbcro7
Violet Crow,slbcro3
Piping Crow,pipcro1
Flores Crow,flocro1
Mariana Crow,marcro1
Long-billed Crow,lobcro1
Guadalcanal Crow,guacro1
Bougainville Crow,boucro1
Brown-headed Crow,brhcro1
Gray Crow,grycro1
Cape Crow,capcro2
Rook,rook1
American Crow,amecro
Cuban Palm-Crow,cupcro1
Hispaniolan Palm-Crow,palcro1
Cuban Crow,cubcro1
White-necked Crow,whncro1
Jamaican Crow,jamcro1
Tamaulipas Crow,tamcro
Sinaloa Crow,sincro1
Fish Crow,fiscro
Hawaiian Crow,hawcro
Chihuahuan Raven,chirav
Carrion Crow,carcro1
Hooded Crow,hoocro1
Large-billed Crow,labcro1
Philippine Jungle Crow,labcro15
Torresian Crow,torcro2
Bismarck Crow,torcro3
Little Crow,litcro1
Australian Raven,ausrav1
Little Raven,litrav1
Forest Raven,forrav1
Collared Crow,colcro1
Pied Crow,piecro1
Brown-necked Raven,brnrav1
Somali Crow,somcro2
Fan-tailed Raven,fatrav1
White-necked Raven,whnrav1
Thick-billed Raven,thbrav1
Common Raven,comrav
Loria's Satinbird,lorsat1
Crested Satinbird,cresat1
Yellow-breasted Satinbird,yebsat1
Obscure Berrypecker,obsber1
Black Berrypecker,blaber1
Mid-mountain Berrypecker,lebber1
Fan-tailed Berrypecker,fatber1
Satin Berrypecker,satber1
Streaked Berrypecker,strber1
Thick-billed Berrypecker,spober1
Spotted Berrypecker,spober3
Yellow-bellied Longbill,yeblon1
Slaty-chinned Longbill,slclon1
Spectacled Longbill,dwahon2
Pygmy Longbill,pyghon1
North Island Kokako,kokako3
South Island Kokako,kokako4
North Island Saddleback,saddle2
South Island Saddleback,saddle3
Huia,huia1
Stitchbird,stitch1
Greater Ground-Robin,grgrob1
Lesser Ground-Robin,legrob1
White-eyed Robin,wherob1
