English name,species_code
Harwood's Spurfowl,harfra4
Swainson's Spurfowl,swafra2
Yellow-necked Spurfowl,yenspu1
Gray-breasted Spurfowl,gybfra1
Red-necked Spurfowl,renfra1
Rock Pigeon,rocpig
Hill Pigeon,hilpig1
Snow Pigeon,snopig1
Speckled Pigeon,spepig1
White-collared Pigeon,whcpig1
Stock Dove,stodov1
Yellow-eyed Pigeon,pabpig1
Somali Pigeon,sompig1
Common Wood-Pigeon,cowpig1
Trocaz Pigeon,tropig1
Bolle's Pigeon,bolpig1
Afep Pigeon,afepig1
Laurel Pigeon,laupig1
Rameron Pigeon,rampig1
Cameroon Pigeon,campig1
Maroon Pigeon,marpig1
Eastern Bronze-naped Pigeon,delpig1
Western Bronze-naped Pigeon,brnpig1
Sao Tome Pigeon,satpig1
Mauritius Wood-Pigeon,mauwop1
Comoro Pigeon,compig1
Speckled Wood-Pigeon,spwpig1
White-naped Pigeon,whnpig1
Ashy Wood-Pigeon,aswpig1
Nilgiri Wood-Pigeon,niwpig1
Sri Lanka Wood-Pigeon,ceywop1
Pale-capped Pigeon,pacpig1
Silvery Wood-Pigeon,siwpig1
Andaman Wood-Pigeon,anwpig1
Black Wood-Pigeon,jawpig1
Ryukyu Pigeon,ryupig1
Bonin Pigeon,bonpig1
Metallic Pigeon,metpig1
White-headed Pigeon,whhpig1
Yellow-legged Pigeon,yelpig1
Lemon Dove,lemdov2
Pale-vented Pigeon,pavpig2
Scaled Pigeon,scapig2
Scaly-naped Pigeon,scnpig1
Picazuro Pigeon,picpig2
Bare-eyed Pigeon,baepig2
Spot-winged Pigeon,spwpig3
White-crowned Pigeon,whcpig2
Red-billed Pigeon,rebpig1
Plain Pigeon,plapig
Band-tailed Pigeon,batpig1
Chilean Pigeon,chipig2
Ring-tailed Pigeon,ritpig
Peruvian Pigeon,perpig2
Plumbeous Pigeon,plupig2
Ruddy Pigeon,rudpig
Short-billed Pigeon,shbpig
Dusky Pigeon,duspig2
Passenger Pigeon,paspig
Malagasy Turtle-Dove,matdov1
Pink Pigeon,pinpig2
Mauritius Turtle-Dove,mautud1
Rodrigues Turtle-Dove,rodtud1
European Turtle-Dove,eutdov
Dusky Turtle-Dove,dutdov1
Adamawa Turtle-Dove,adtdov1
Oriental Turtle-Dove,ortdov
Sunda Collared-Dove,iscdov1
Philippine Collared-Dove,phicod1
Eurasian Collared-Dove,eucdov
Burmese Collared-Dove,eurcod2
African Collared-Dove,afcdov1
White-winged Collared-Dove,wwcdov1
Mourning Collared-Dove,afmdov1
Red-eyed Dove,reedov1
Ring-necked Dove,rindov
Vinaceous Dove,vindov1
Red Collared-Dove,recdov1
Spotted Dove,spodov
Laughing Dove,laudov1
Barred Cuckoo-Dove,bacdov1
Brown Cuckoo-Dove,brcdov1
Flores Sea Cuckoo-Dove,ducdov1
Timor Cuckoo-Dove,timcud1
Tanimbar Cuckoo-Dove,tancud1
Amboyna Cuckoo-Dove,sbcdov1
Sultan's Cuckoo-Dove,sulcud1
Andaman Cuckoo-Dove,ancdov1
Philippine Cuckoo-Dove,phcdov1
Ruddy Cuckoo-Dove,rucdov1
Enggano Cuckoo-Dove,engcud1
Barusan Cuckoo-Dove,barcud1
Black-billed Cuckoo-Dove,bbcdov1
Spot-breasted Cuckoo-Dove,macdov1
Little Cuckoo-Dove,licdov1
Great Cuckoo-Dove,grcdov2
Pied Cuckoo-Dove,picdov1
Crested Cuckoo-Dove,crcdov1
White-faced Cuckoo-Dove,wfcdov1
Sula Cuckoo-Dove,sulcud2
Slaty Cuckoo-Dove,slacud1
Emerald-spotted Wood-Dove,eswdov1
Black-billed Wood-Dove,bbwdov1
Blue-spotted Wood-Dove,bswdov1
Tambourine Dove,tamdov1
Blue-headed Wood-Dove,bhwdov1
Namaqua Dove,namdov1
Asian Emerald Dove,emedov2
Pacific Emerald Dove,emedov3
Stephan's Dove,stedov1
New Guinea Bronzewing,negbro1
New Britain Bronzewing,nebbro1
Wetar Ground Dove,wegdov1
Shy Ground Dove,frgdov1
Santa Cruz Ground Dove,scgdov1
Thick-billed Ground Dove,tbgdov1
Tanna Ground Dove,tangrd1
Bronze Ground Dove,brgdov1
Palau Ground Dove,pagdov1
White-bibbed Ground Dove,wbgdov1
Marquesan Ground Dove,margrd1
Caroline Islands Ground Dove,cigdov1
Polynesian Ground Dove,pogdov1
White-throated Ground Dove,wtgdov1
Norfolk Ground Dove,norgrd1
Common Bronzewing,combro1
Brush Bronzewing,brubro1
Flock Bronzewing,flobro1
Crested Pigeon,crepig1
Spinifex Pigeon,spipig2
Squatter Pigeon,squpig1
Partridge Pigeon,parpig1
Chestnut-quilled Rock-Pigeon,cqrpig1
